채널,방송시작시간,주문수량,취소수량
TV,180101 00:10,648,73
TV,180101 01:00,200,16
TV,180101 01:00,200,16
TV,180101 02:00,460,25
TV,180101 03:00,125,5
TV,180101 04:00,185,11
TV,180101 04:00,185,11
TV,180101 05:00,291,26
TV,180101 05:00,291,26
TV,180101 06:00,1226,55
TV,180101 07:15,137,12
TV,180101 07:15,137,12
TV,180101 07:15,137,12
TV,180101 08:15,1388,85
TV,180101 08:15,1388,85
TV,180101 08:15,1388,85
TV,180101 08:15,1388,85
TV,180101 09:25,876,56
TV,180101 10:25,2059,48
TV,180101 11:40,2857,80
TV,180101 12:40,707,33
TV,180101 13:40,3685,124
TV,180101 13:40,3685,124
TV,180101 14:40,1460,64
TV,180101 14:40,1460,64
TV,180101 14:40,1460,64
TV,180101 14:40,1460,64
TV,180101 15:40,1830,63
TV,180101 16:40,2259,71
TV,180101 17:40,1512,90
TV,180101 17:40,1512,90
TV,180101 18:40,4341,141
TV,180101 18:40,4341,141
TV,180101 19:40,4040,315
TV,180101 20:40,227,33
TV,180101 20:40,227,33
TV,180101 20:40,227,33
TV,180101 21:45,4216,82
TV,180101 22:40,3244,106
TV,180101 23:45,3151,71
TV,180102 00:50,388,31
TV,180102 00:50,388,31
TV,180102 00:50,388,31
TV,180102 00:50,388,31
TV,180102 01:50,721,21
TV,180102 03:05,260,7
TV,180102 03:55,95,9
TV,180102 03:55,95,9
TV,180102 04:55,105,2
TV,180102 04:55,105,2
TV,180102 05:15,566,19
TV,180102 05:15,566,19
TV,180102 05:15,566,19
TV,180102 05:15,566,19
TV,180102 06:15,855,23
TV,180102 06:15,855,23
TV,180102 06:15,855,23
TV,180102 06:15,855,23
TV,180102 06:15,855,23
TV,180102 06:15,855,23
TV,180102 07:15,1291,61
TV,180102 08:15,3554,208
TV,180102 08:15,3554,208
TV,180102 09:25,113,3
TV,180102 10:25,803,32
TV,180102 11:40,701,28
TV,180102 11:40,701,28
TV,180102 11:40,701,28
TV,180102 11:40,701,28
TV,180102 12:40,1386,54
TV,180102 13:40,2402,188
TV,180102 14:40,1035,30
TV,180102 15:40,1241,53
TV,180102 16:40,1253,62
TV,180102 17:40,1899,36
TV,180102 18:40,1752,48
TV,180102 19:40,2461,71
TV,180102 19:40,2461,71
TV,180102 20:40,1886,114
TV,180102 21:45,855,65
TV,180102 21:45,855,65
TV,180102 21:45,855,65
TV,180102 22:40,3064,82
TV,180102 23:45,1002,35
TV,180102 23:45,1002,35
